iter	Passed	Remaining
0	6	6238
1	12	6022
2	17	5791
3	22	5565
4	27	5479
5	32	5357
6	37	5300
7	42	5282
8	47	5236
9	52	5215
10	57	5166
11	62	5169
12	68	5207
13	73	5172
14	78	5141
15	83	5128
16	88	5122
17	93	5125
18	99	5163
19	109	5363
20	114	5355
21	120	5342
22	125	5310
23	129	5285
24	134	5257
25	140	5257
26	145	5254
27	151	5248
28	156	5225
29	160	5205
30	165	5186
31	170	5169
32	175	5152
33	180	5130
34	185	5127
35	190	5111
36	196	5104
37	203	5146
38	208	5139
39	213	5132
40	219	5133
41	224	5119
42	229	5101
43	234	5098
44	240	5099
45	245	5086
46	250	5076
47	255	5066
48	262	5100
49	268	5101
50	274	5099
51	278	5084
52	284	5077
53	289	5063
54	294	5051
55	299	5047
56	304	5036
57	309	5025
58	315	5024
59	320	5017
60	325	5014
61	330	5004
62	368	5478
63	386	5656
64	403	5804
65	420	5948
66	437	6094
67	449	6156
68	465	6284
69	476	6330
70	490	6423
71	502	6478
72	519	6592
73	526	6586
74	541	6673
75	555	6748
76	565	6783
77	589	6968
78	616	7191
79	624	7177
80	638	7240
81	651	7293
82	666	7362
83	681	7432
84	701	7550
85	713	7587
86	730	7663
87	744	7715
88	755	7732
89	769	7783
90	780	7797
91	787	7770
92	801	7820
93	813	7844
94	829	7899
95	843	7938
96	853	7946
97	864	7955
98	880	8010
99	896	8064
100	909	8098
101	925	8148
102	941	8198
103	949	8180
104	964	8220
105	979	8262
106	992	8285
107	1006	8311
108	1013	8284
109	1028	8321
110	1042	8347
111	1060	8410
112	1079	8477
113	1091	8486
114	1103	8491
115	1113	8486
116	1129	8521
117	1143	8545
118	1156	8562
119	1172	8595
120	1193	8671
121	1206	8684
122	1214	8658
123	1227	8671
124	1241	8692
125	1256	8712
126	1269	8724
127	1275	8688
128	1288	8702
129	1302	8719
130	1308	8680
131	1323	8705
132	1336	8714
133	1342	8676
134	1357	8697
135	1371	8713
136	1386	8733
137	1398	8737
138	1408	8726
139	1422	8740
140	1437	8755
141	1450	8763
142	1456	8728
143	1470	8743
144	1485	8761
145	1496	8755
146	1506	8743
147	1514	8719
148	1521	8690
149	1539	8721
150	1566	8806
151	1586	8850
152	1605	8885
153	1621	8907
154	1632	8899
155	1639	8870
156	1655	8888
157	1670	8903
158	1685	8912
159	1700	8926
160	1713	8930
161	1721	8905
162	1733	8902
163	1748	8915
164	1763	8923
165	1777	8932
166	1793	8944
167	1798	8907
168	1813	8917
169	1826	8918
170	1837	8909
171	1852	8917
172	1861	8897
173	1876	8906
174	1882	8874
175	1898	8886
176	1911	8888
177	1924	8888
178	1931	8857
179	1943	8855
180	1959	8865
181	1975	8877
182	1984	8861
183	2001	8875
184	2015	8878
185	2033	8900
186	2059	8954
187	2080	8986
188	2095	8992
189	2111	9000
190	2127	9010
191	2140	9006
192	2147	8978
193	2163	8987
194	2181	9004
195	2194	9001
196	2205	8990
197	2218	8986
198	2228	8970
199	2241	8966
200	2254	8962
201	2262	8937
202	2273	8924
203	2286	8920
204	2296	8907
205	2308	8898
206	2320	8887
207	2331	8878
208	2344	8872
209	2355	8862
210	2369	8861
211	2382	8854
212	2391	8835
213	2405	8833
214	2418	8828
215	2425	8804
216	2437	8794
217	2449	8787
218	2464	8787
219	2476	8780
220	2484	8756
221	2489	8724
222	2495	8695
223	2505	8681
224	2514	8660
225	2522	8637
226	2535	8634
227	2556	8657
228	2584	8701
229	2602	8711
230	2619	8721
231	2635	8724
232	2652	8732
233	2665	8726
234	2682	8732
235	2699	8738
236	2711	8730
237	2725	8726
238	2736	8712
239	2747	8699
240	2761	8695
241	2775	8693
242	2789	8690
243	2803	8685
244	2815	8675
245	2825	8660
246	2837	8649
247	2852	8648
248	2860	8628
249	2872	8617
250	2879	8593
251	2896	8596
252	2908	8586
253	2913	8556
254	2927	8553
255	2941	8547
256	2954	8543
257	2969	8538
258	2980	8528
259	2990	8512
260	3004	8507
261	3020	8507
262	3026	8482
263	3045	8489
264	3061	8490
265	3074	8484
266	3096	8499
267	3111	8498
268	3128	8501
269	3138	8485
270	3145	8462
271	3160	8459
272	3173	8450
273	3187	8446
274	3195	8424
275	3209	8419
276	3222	8410
277	3237	8407
278	3251	8402
279	3258	8379
280	3273	8375
281	3286	8367
282	3301	8363
283	3316	8362
284	3330	8356
285	3336	8330
286	3345	8310
287	3356	8298
288	3368	8286
289	3383	8282
290	3391	8264
291	3402	8249
292	3416	8244
293	3431	8241
294	3447	8237
295	3461	8233
296	3474	8225
297	3494	8232
298	3505	8219
299	3520	8213
300	3543	8227
301	3549	8204
302	3564	8199
303	3578	8192
304	3592	8186
305	3606	8178
306	3615	8161
307	3623	8141
308	3639	8138
309	3646	8116
310	3653	8093
311	3668	8089
312	3676	8069
313	3682	8045
314	3698	8041
315	3713	8037
316	3724	8024
317	3734	8008
318	3748	8002
319	3759	7989
320	3765	7965
321	3773	7946
322	3781	7925
323	3787	7902
324	3796	7885
325	3806	7870
326	3818	7859
327	3824	7835
328	3831	7813
329	3838	7793
330	3848	7778
331	3859	7766
332	3868	7748
333	3876	7729
334	3888	7718
335	3893	7694
336	3906	7686
337	3918	7673
338	3930	7664
339	3945	7658
340	3953	7640
341	3961	7621
342	3972	7609
343	3982	7595
344	3990	7576
345	3998	7558
346	4010	7546
347	4020	7533
348	4032	7521
349	4044	7510
350	4051	7490
351	4059	7472
352	4066	7453
353	4075	7437
354	4081	7414
355	4092	7402
356	4098	7382
357	4103	7359
358	4111	7340
359	4118	7321
360	4124	7300
361	4131	7280
362	4137	7261
363	4144	7241
364	4150	7220
365	4162	7209
366	4167	7188
367	4175	7171
368	4185	7157
369	4191	7136
370	4198	7118
371	4205	7099
372	4211	7079
373	4220	7065
374	4229	7048
375	4236	7031
376	4243	7013
377	4249	6993
378	4257	6975
379	4264	6957
380	4273	6943
381	4285	6932
382	4296	6922
383	4305	6906
384	4319	6899
385	4329	6886
386	4336	6869
387	4359	6876
388	4392	6899
389	4407	6893
390	4415	6877
391	4422	6859
392	4435	6850
393	4448	6841
394	4464	6838
395	4471	6820
396	4479	6803
397	4486	6785
398	4501	6780
399	4513	6770
400	4519	6751
401	4530	6739
402	4538	6723
403	4545	6706
404	4556	6694
405	4563	6677
406	4573	6663
407	4584	6652
408	4595	6640
409	4602	6623
410	4609	6606
411	4614	6585
412	4621	6568
413	4628	6550
414	4633	6531
415	4638	6511
416	4643	6491
417	4648	6472
418	4654	6453
419	4658	6433
420	4663	6414
421	4669	6396
422	4674	6376
423	4679	6357
424	4686	6340
425	4691	6321
426	4697	6303
427	4702	6284
428	4707	6265
429	4712	6246
430	4717	6228
431	4722	6209
432	4728	6191
433	4733	6172
434	4737	6153
435	4743	6136
436	4749	6118
437	4753	6098
438	4757	6080
439	4764	6063
440	4769	6045
441	4774	6027
442	4779	6010
443	4784	5991
444	4790	5974
445	4795	5956
446	4800	5938
447	4805	5921
448	4810	5903
449	4815	5885
450	4821	5869
451	4827	5852
452	4832	5835
453	4837	5818
454	4843	5801
455	4848	5784
456	4853	5766
457	4858	5749
458	4864	5733
459	4868	5715
460	4876	5701
461	4883	5686
462	4888	5670
