# Document_ID	Mention_A_type	Mention_A_StartOffset	Mention_A_EndOffset	Mention_A	Relation_type	Mention_B_type	Mention_B_StartOffset	Mention_B_EndOffset	Mention_B
S1130-01082009000400014-1	SHORT_FORM	476	479	NPT	SHORT-LONG	LONG_FORM	454	474	nutrición parenteral
S1130-63432016000100009-1	SHORT_FORM	614	619	NIHSS	SHORT-LONG	LONG_FORM	621	662	National Institute of Health Stroke Scale
S1139-76322017000200007-1	SHORT_FORM	1145	1148	CMV	SHORT-LONG	LONG_FORM	1128	1143	citomegalovirus
S1139-76322017000200007-1	SHORT_FORM	1243	1246	VSG	SHORT-LONG	LONG_FORM	1206	1241	velocidad de sedimentación globular
S1139-76322017000200007-1	SHORT_FORM	1300	1304	IGRA	SHORT-LONG	LONG_FORM	1267	1298	interferon-gamma release assays
S1139-76322017000200007-1	SHORT_FORM	1433	1437	PAAF	SHORT-LONG	LONG_FORM	1398	1431	punción aspiración con aguja fina
S1139-76322017000200007-1	SHORT_FORM	1121	1124	VEB	SHORT-LONG	LONG_FORM	1098	1119	virus de Epstein-Barr
S1130-01082009000200012-1	SHORT_FORM	247	249	CT	SHORT-LONG	LONG_FORM	221	245	tomografía computerizada
S0376-78922009000400010-1	SHORT_FORM	280	283	RMN	SHORT-LONG	LONG_FORM	250	278	Resonancia Magnética Nuclear
S0376-78922009000100011-1	SHORT_FORM	2215	2218	TAC	SHORT-LONG	LONG_FORM	2183	2213	Tomografía Axial Computerizada
S1699-695X2015000300010-1	SHORT_FORM	1014	1018	MMII	SHORT-LONG	LONG_FORM	993	1012	miembros inferiores
S1699-695X2015000300010-1	SHORT_FORM	1189	1192	ROT	SHORT-LONG	LONG_FORM	1164	1187	Reflejo osteo-tendinoso
S1699-695X2015000300010-1	SHORT_FORM	1471	1474	ITB	SHORT-LONG	LONG_FORM	1449	1469	índice tobillo-brazo
S1699-695X2015000300010-1	SHORT_FORM	1761	1764	EMG	SHORT-LONG	LONG_FORM	1744	1759	electromiograma
S1699-695X2015000300010-1	SHORT_FORM	1788	1791	ENG	SHORT-LONG	LONG_FORM	1768	1786	electroneurografía
S1699-695X2015000300010-1	SHORT_FORM	2503	2507	MMSS	SHORT-LONG	LONG_FORM	2482	2501	miembros superiores
S1699-695X2015000300010-1	SHORT_FORM	3678	3681	PEG	SHORT-LONG	LONG_FORM	3653	3676	gastrostomía percutánea
S1699-695X2015000300010-1	SHORT_FORM	813	816	ELA	SHORT-LONG	LONG_FORM	781	811	Esclerosis lateral amiotrófica
S1134-80462009000500006-1	SHORT_FORM	2620	2623	LDH	SHORT-LONG	LONG_FORM	2599	2618	lactodeshidrogenasa
S1134-80462009000500006-1	SHORT_FORM	1528	1530	RM	SHORT-LONG	LONG_FORM	1506	1526	resonancia magnética
S1887-85712015000200005-1	SHORT_FORM	120	123	IED	SHORT-LONG	LONG_FORM	92	119	Improvised Explosive Device
S1134-80462004000600007-1	SHORT_FORM	2136	2139	A-P	SHORT-LONG	LONG_FORM	2118	2134	antero-posterior
S1139-76322015000500009-1	SHORT_FORM	1617	1620	EMG	SHORT-LONG	LONG_FORM	1599	1615	electromiografía
S1139-76322015000500009-1	SHORT_FORM	1663	1666	CPK	SHORT-LONG	LONG_FORM	1643	1661	creatinfosfocinasa
S1139-76322015000500009-1	SHORT_FORM	1693	1696	ECG	SHORT-LONG	LONG_FORM	1673	1691	electrocardiograma
S1139-76322015000500009-1	SHORT_FORM	1457	1460	EFK	SHORT-LONG	LONG_FORM	1424	1455	excreción fraccional de potasio
S1137-66272016000200010-1	SHORT_FORM	235	239	TSOH	SHORT-LONG	LONG_FORM	203	233	test de sangre oculta en heces
S0210-56912006000600007-1	SHORT_FORM	419	421	DA	SHORT-LONG	LONG_FORM	397	417	descendente anterior
S0210-56912006000600007-1	SHORT_FORM	215	222	SCACEST	SHORT-LONG	LONG_FORM	159	213	síndrome coronario agudo con elevación del segmento ST
S0210-56912006000600007-1	SHORT_FORM	381	383	CD	SHORT-LONG	LONG_FORM	362	379	coronaria derecha
S0210-56912006000600007-1	SHORT_FORM	1585	1588	TAM	SHORT-LONG	LONG_FORM	1561	1583	tensión arterial media
S0210-56912006000600007-1	NESTED	1765	1770	gasto	NESTED-LONG	LONG_FORM	1771	1779	cardíaco
S0210-56912006000600007-1	SHORT_FORM	1781	1783	GC	SHORT-NESTED	NESTED	1765	1770	gasto
S0210-56912006000600007-1	SHORT_FORM	2369	2372	ECG	SHORT-LONG	LONG_FORM	2349	2367	electrocardiograma
