0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
[CLS],deci,##li,##tro,[SEP],del,líquido,una,gluc,##orra,##quia,normal,",",prote,##ino,##r,##ra,##quia,de,102,mg,/,<,star,##t,>,d,##l,<,end,>,9,##6,##0,células,/,mm,##3,un,90,%,de,las,cuales,se,correspondía,##n,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],deci,##li,##tro,[SEP],que,eran,de,5,",",8,g,/,d,##l,con,alb,##ú,##mina,de,1,.,4,##00,mg,/,<,star,##t,>,d,##l,<,end,>,el,elemental,de,orina,y,sedi,##mento,eran,normales,",",así,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],deci,##li,##tro,[SEP],6,##7,y,las,proteínas,totales,que,eran,de,5,",",8,g,/,<,star,##t,>,d,##l,<,end,>,con,alb,##ú,##mina,de,1,.,4,##00,mg,/,d,##l,.,el,elemental,de,orina,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],deci,##li,##tro,[SEP],las,pruebas,realizadas,destaca,##ba,una,anemia,norm,##oc,##ítica,(,9,",",9,g,/,<,star,##t,>,d,##l,<,end,>,de,h,##b,),",",leuc,##oc,##itos,6,.,7,##00,con,8,##4,%,de,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],gram,##o,[SEP],gamma,-,gt,6,##7,y,las,proteínas,totales,que,eran,de,5,",",8,<,star,##t,>,g,<,end,>,d,##l,con,alb,##ú,##mina,de,1,.,4,##00,mg,/,d,##l,.,el,elemental,de,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],gram,##o,[SEP],en,las,pruebas,realizadas,destaca,##ba,una,anemia,norm,##oc,##ítica,(,9,",",9,<,star,##t,>,g,<,end,>,d,##l,de,h,##b,),",",leuc,##oc,##itos,6,.,7,##00,con,8,##4,%,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],gamma,##gl,##uta,##my,##l,trans,##pe,##p,##tidas,##e,[SEP],eran,normales,salvo,la,got,8,##7,",",g,##p,##t,51,",",<,star,##t,>,gamma,-,gt,<,end,>,6,##7,y,las,proteínas,totales,que,eran,de,5,",",8,g,/,d,##l,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],glu,##tam,##ate,py,##ru,##va,##te,trans,##amina,##se,[SEP],bio,##quí,##micos,en,sangre,eran,normales,salvo,la,got,8,##7,",",<,star,##t,>,g,##p,##t,<,end,>,51,",",gamma,-,gt,6,##7,y,las,proteínas,totales,que,eran,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],hem,##og,##lo,##bina,[SEP],pruebas,realizadas,destaca,##ba,una,anemia,norm,##oc,##ítica,(,9,",",9,g,/,d,##l,de,<,star,##t,>,h,##b,<,end,>,",",leuc,##oc,##itos,6,.,7,##00,con,8,##4,%,de,seg,##mentado,##s,",",pla,##quetas,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],indic,##e,masa,corporal,[SEP],az,##it,##ro,##mi,##cina,.,a,la,exploración,física,destaca,##ba,la,del,##gad,##ez,(,<,star,##t,>,im,##c,<,end,>,1,##7,),",",temperatura,3,##7,[UNK],",",tensión,arterial,105,/,6,##0,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
