,short_form,context,long_form,label
0,dl,"del líquido una glucorraquia normal , proteinorraquia de 102 mg/ < start > dl < end > 960 células/mm3 un 90 % de las cuales se correspondían",decilitro,1
1,dl,"que eran de 5,8 g/dl con albúmina de 1.400 mg/ < start > dl < end > El elemental de orina y sedimento eran normales , así",decilitro,1
2,dl,"67 y las proteínas totales que eran de 5,8 g/ < start > dl < end > con albúmina de 1.400 mg/dl . El elemental de orina",decilitro,1
3,dl,"las pruebas realizadas destacaba una anemia normocítica ( 9,9 g/ < start > dl < end > de Hb ) , leucocitos 6.700 con 84 % de",decilitro,1
4,g,"gamma-GT 67 y las proteínas totales que eran de 5,8 < start > g < end > dl con albúmina de 1.400 mg/dl . El elemental de",gramo,1
5,g,"En las pruebas realizadas destacaba una anemia normocítica ( 9,9 < start > g < end > dl de Hb ) , leucocitos 6.700 con 84 %",gramo,1
6,gamma-GT,"eran normales salvo la GOT 87 , GPT 51 , < start > gamma-GT < end > 67 y las proteínas totales que eran de 5,8 g/dl",gammaglutamyl transpeptidase,1
7,GPT,"bioquímicos en sangre eran normales salvo la GOT 87 , < start > GPT < end > 51 , gamma-GT 67 y las proteínas totales que eran",glutamic pyruvic transaminar,1
8,GPT,"bioquímicos en sangre eran normales salvo la GOT 87 , < start > GPT < end > 51 , gamma-GT 67 y las proteínas totales que eran",glutamate pyruvatar transaminar,0
9,GPT,"bioquímicos en sangre eran normales salvo la GOT 87 , < start > GPT < end > 51 , gamma-GT 67 y las proteínas totales que eran",glutamato piruvato transaminasar,0
10,Hb,"pruebas realizadas destacaba una anemia normocítica ( 9,9 g/dl de < start > Hb < end > , leucocitos 6.700 con 84 % de segmentados , plaquetas",hemoglobina,1
11,IMC,"azitromicina . A la exploración física destacaba la delgadez ( < start > IMC < end > 17 ) , temperatura 37 ºC , tensión arterial 105/60",indice masa corporal,1
12,C,"la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y orientada ,",centimetro,1
13,C,"la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y orientada ,",centigrado,0
14,C,"la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y orientada ,",cysteine,0
15,C,"la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y orientada ,",peak c,0
16,C,"semanas , ingresó por cuadro de fiebre de 39 º < start > C < end > dolor y dificultad para movilizar el cuello . La semana",centimetro,1
17,C,"semanas , ingresó por cuadro de fiebre de 39 º < start > C < end > dolor y dificultad para movilizar el cuello . La semana",centigrado,0
18,C,"semanas , ingresó por cuadro de fiebre de 39 º < start > C < end > dolor y dificultad para movilizar el cuello . La semana",cysteine,0
19,C,"semanas , ingresó por cuadro de fiebre de 39 º < start > C < end > dolor y dificultad para movilizar el cuello . La semana",peak c,0
20,LCR,"antibioterapia con ampicilina y gentamicina durante tres semanas , con < start > LCR < end > negativo al alta . Se restableció azatioprina una vez estable",liquido cefalorraquideo,1
21,LCR,"antibioterapia con ampicilina y gentamicina durante tres semanas , con < start > LCR < end > negativo al alta . Se restableció azatioprina una vez estable",liquido cefaloraquideo,0
22,C,"la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y orientada ,",centimetro,0
23,C,"la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y orientada ,",centigrado,1
24,C,"la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y orientada ,",cysteine,0
25,C,"la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y orientada ,",peak c,0
