,short_form,context,long_form,label
0,C,"la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y orientada ,",centimetro,1
1,C,"la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y orientada ,",centigrado,0
2,C,"la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y orientada ,",cysteine,0
3,C,"la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y orientada ,",peak c,0
4,C,"semanas , ingresó por cuadro de fiebre de 39 º < start > C < end > dolor y dificultad para movilizar el cuello . La semana",centimetro,1
5,C,"semanas , ingresó por cuadro de fiebre de 39 º < start > C < end > dolor y dificultad para movilizar el cuello . La semana",centigrado,0
6,C,"semanas , ingresó por cuadro de fiebre de 39 º < start > C < end > dolor y dificultad para movilizar el cuello . La semana",cysteine,0
7,C,"semanas , ingresó por cuadro de fiebre de 39 º < start > C < end > dolor y dificultad para movilizar el cuello . La semana",peak c,0
8,C,"la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y orientada ,",centimetro,0
9,C,"la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y orientada ,",centigrado,1
10,C,"la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y orientada ,",cysteine,0
11,C,"la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y orientada ,",peak c,0
12,C,"semanas , ingresó por cuadro de fiebre de 39 º < start > C < end > dolor y dificultad para movilizar el cuello . La semana",centimetro,0
13,C,"semanas , ingresó por cuadro de fiebre de 39 º < start > C < end > dolor y dificultad para movilizar el cuello . La semana",centigrado,1
14,C,"semanas , ingresó por cuadro de fiebre de 39 º < start > C < end > dolor y dificultad para movilizar el cuello . La semana",cysteine,0
15,C,"semanas , ingresó por cuadro de fiebre de 39 º < start > C < end > dolor y dificultad para movilizar el cuello . La semana",peak c,0
16,cm,desde los 15 cm de margen anal a los 35 < start > cm < end > con pseudopólipos y friabilidad que impresionaba como colitis ulcerosa .,centimetro,1
17,cm,desde los 15 cm de margen anal a los 35 < start > cm < end > con pseudopólipos y friabilidad que impresionaba como colitis ulcerosa .,centimetro agua,0
18,cm,abdomen se confirmó la presencia de una masa de 3 < start > cm < end > en cuerpo-cola de páncreas vascularizada . Se hizo una laparotomía,centimetro,1
19,cm,abdomen se confirmó la presencia de una masa de 3 < start > cm < end > en cuerpo-cola de páncreas vascularizada . Se hizo una laparotomía,centimetro agua,0
20,cm,que fue resecada . El examen histológico fue : 21 < start > cm < end > de colon transverso con una zona con mucosa irregular y,centimetro,1
21,cm,que fue resecada . El examen histológico fue : 21 < start > cm < end > de colon transverso con una zona con mucosa irregular y,centimetro agua,0
22,cm,por diarrea que demostró una colitis segmentaria desde los 15 < start > cm < end > de margen anal a los 35 cm con pseudopólipos y,centimetro,1
23,cm,por diarrea que demostró una colitis segmentaria desde los 15 < start > cm < end > de margen anal a los 35 cm con pseudopólipos y,centimetro agua,0
24,cm,": pieza de colectomía con una úlcera extensa de 6,5 < start > cm < end > con bordes sobreelevados que penetraba la pared del colon hasta",centimetro,1
