,short_form,context,long_form,label
0,GPT,"bioquímicos en sangre eran normales salvo la GOT 87 , < start > GPT < end >",glutamic pyruvic transaminar,1
1,GPT,"bioquímicos en sangre eran normales salvo la GOT 87 , < start > GPT < end >",glutamate pyruvatar transaminar,0
2,C,"la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end >",centimetro,1
3,C,"la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end >",centigrado,0
4,C,"la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end >",cysteine,0
5,C,"la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end >",peak c,0
6,C,"semanas , ingresó por cuadro de fiebre de 39 º < start > C < end >",centimetro,1
7,C,"semanas , ingresó por cuadro de fiebre de 39 º < start > C < end >",centigrado,0
8,C,"semanas , ingresó por cuadro de fiebre de 39 º < start > C < end >",cysteine,0
9,C,"semanas , ingresó por cuadro de fiebre de 39 º < start > C < end >",peak c,0
10,C,"la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end >",centimetro,0
11,C,"la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end >",centigrado,1
12,C,"la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end >",cysteine,0
13,C,"la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end >",peak c,0
14,C,"semanas , ingresó por cuadro de fiebre de 39 º < start > C < end >",centimetro,0
15,C,"semanas , ingresó por cuadro de fiebre de 39 º < start > C < end >",centigrado,1
16,C,"semanas , ingresó por cuadro de fiebre de 39 º < start > C < end >",cysteine,0
17,C,"semanas , ingresó por cuadro de fiebre de 39 º < start > C < end >",peak c,0
18,cm,desde los 15 cm de margen anal a los 35 < start > cm < end >,centimetro,1
19,cm,desde los 15 cm de margen anal a los 35 < start > cm < end >,centimetro agua,0
20,cm,abdomen se confirmó la presencia de una masa de 3 < start > cm < end >,centimetro,1
21,cm,abdomen se confirmó la presencia de una masa de 3 < start > cm < end >,centimetro agua,0
22,cm,que fue resecada . El examen histológico fue : 21 < start > cm < end >,centimetro,1
23,cm,que fue resecada . El examen histológico fue : 21 < start > cm < end >,centimetro agua,0
24,cm,por diarrea que demostró una colitis segmentaria desde los 15 < start > cm < end >,centimetro,1
25,cm,por diarrea que demostró una colitis segmentaria desde los 15 < start > cm < end >,centimetro agua,0
26,cm,": pieza de colectomía con una úlcera extensa de 6,5 < start > cm < end >",centimetro,1
27,cm,": pieza de colectomía con una úlcera extensa de 6,5 < start > cm < end >",centimetro agua,0
28,cm,una zona con mucosa irregular y aspecto abigarrado de 7 < start > cm < end >,centimetro,1
29,cm,una zona con mucosa irregular y aspecto abigarrado de 7 < start > cm < end >,centimetro agua,0
30,cm,. La colonoscopia confirmó que la úlcera se extendía 3 < start > cm < end >,centimetro,1
31,cm,. La colonoscopia confirmó que la úlcera se extendía 3 < start > cm < end >,centimetro agua,0
32,h,herpes virus . Se inicia tratamiento antiviral con aciclovir 10mg/kg/8 < start > h < end >,hora,1
33,h,herpes virus . Se inicia tratamiento antiviral con aciclovir 10mg/kg/8 < start > h < end >,microgramo,0
34,h,"de extubación , se la tiene que reintubar en 12 < start > h < end >",hora,1
35,h,"de extubación , se la tiene que reintubar en 12 < start > h < end >",microgramo,0
36,h,lo que se la extuba sin incidencias a las 48 < start > h < end >,hora,1
37,h,lo que se la extuba sin incidencias a las 48 < start > h < end >,microgramo,0
38,kg,herpes virus . Se inicia tratamiento antiviral con aciclovir 10mg/ < start > kg < end >,kilogramo,1
39,kg,herpes virus . Se inicia tratamiento antiviral con aciclovir 10mg/ < start > kg < end >,centimetro,0
40,C,los que persiste la fiebre con picos mayores de 39o < start > C < end >,centimetro,0
41,C,los que persiste la fiebre con picos mayores de 39o < start > C < end >,centigrado,1
42,C,los que persiste la fiebre con picos mayores de 39o < start > C < end >,cysteine,0
43,C,los que persiste la fiebre con picos mayores de 39o < start > C < end >,peak c,0
44,C,la reintuba . Comienza con fiebre superior a 39 o < start > C < end >,centimetro,0
45,C,la reintuba . Comienza con fiebre superior a 39 o < start > C < end >,centigrado,1
46,C,la reintuba . Comienza con fiebre superior a 39 o < start > C < end >,cysteine,0
47,C,la reintuba . Comienza con fiebre superior a 39 o < start > C < end >,peak c,0
48,PCR,) y se mandan muestras a microbiología ( cultivo y < start > PCR < end >,proteina c reactivo,1
49,PCR,) y se mandan muestras a microbiología ( cultivo y < start > PCR < end >,polymerase chain reaction,0
50,PCR,) y se mandan muestras a microbiología ( cultivo y < start > PCR < end >,reaccion cadena polimerasa,0
51,PCR,) y se mandan muestras a microbiología ( cultivo y < start > PCR < end >,parada cardiorrespiratorio,0
52,PCR,"los resultados del BAL , en los que se constata < start > PCR < end >",proteina c reactivo,1
53,PCR,"los resultados del BAL , en los que se constata < start > PCR < end >",polymerase chain reaction,0
54,PCR,"los resultados del BAL , en los que se constata < start > PCR < end >",reaccion cadena polimerasa,0
55,PCR,"los resultados del BAL , en los que se constata < start > PCR < end >",parada cardiorrespiratorio,0
56,PCR,) y se mandan muestras a microbiología ( cultivo y < start > PCR < end >,proteina c reactivo,1
57,PCR,) y se mandan muestras a microbiología ( cultivo y < start > PCR < end >,polymerase chain reaction,0
58,PCR,) y se mandan muestras a microbiología ( cultivo y < start > PCR < end >,reaccion cadena polimerasa,0
59,PCR,) y se mandan muestras a microbiología ( cultivo y < start > PCR < end >,parada cardiorrespiratorio,0
60,PCR,"los resultados del BAL , en los que se constata < start > PCR < end >",proteina c reactivo,1
61,PCR,"los resultados del BAL , en los que se constata < start > PCR < end >",polymerase chain reaction,0
62,PCR,"los resultados del BAL , en los que se constata < start > PCR < end >",reaccion cadena polimerasa,0
