,short_form,context,long_form,label
0,GPT,"La velocidad de sedimentación era de 68 . Los parámetros bioquímicos en sangre eran normales salvo la GOT 87 , < start > GPT < end > 51 , gamma-GT 67 y las proteínas totales que eran de 5,8 g/dl con albúmina de 1.400 mg/dl . El",glutamic pyruvic transaminar,1
1,GPT,"La velocidad de sedimentación era de 68 . Los parámetros bioquímicos en sangre eran normales salvo la GOT 87 , < start > GPT < end > 51 , gamma-GT 67 y las proteínas totales que eran de 5,8 g/dl con albúmina de 1.400 mg/dl . El",glutamate pyruvatar transaminar,0
2,C,"tratamiento ambulatorio con azitromicina . A la exploración física destacaba la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y orientada , con exploración neurológica completa normal , muguet oral y exploración",centimetro,1
3,C,"tratamiento ambulatorio con azitromicina . A la exploración física destacaba la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y orientada , con exploración neurológica completa normal , muguet oral y exploración",centigrado,0
4,C,"tratamiento ambulatorio con azitromicina . A la exploración física destacaba la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y orientada , con exploración neurológica completa normal , muguet oral y exploración",cysteine,0
5,C,"tratamiento ambulatorio con azitromicina . A la exploración física destacaba la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y orientada , con exploración neurológica completa normal , muguet oral y exploración",peak c,0
6,C,"tórax y serología viral fueron negativos . A las 2 semanas , ingresó por cuadro de fiebre de 39 º < start > C < end > dolor y dificultad para movilizar el cuello . La semana previa había presentado afectación del estado general y fiebre ,",centimetro,1
7,C,"tórax y serología viral fueron negativos . A las 2 semanas , ingresó por cuadro de fiebre de 39 º < start > C < end > dolor y dificultad para movilizar el cuello . La semana previa había presentado afectación del estado general y fiebre ,",centigrado,0
8,C,"tórax y serología viral fueron negativos . A las 2 semanas , ingresó por cuadro de fiebre de 39 º < start > C < end > dolor y dificultad para movilizar el cuello . La semana previa había presentado afectación del estado general y fiebre ,",cysteine,0
9,C,"tórax y serología viral fueron negativos . A las 2 semanas , ingresó por cuadro de fiebre de 39 º < start > C < end > dolor y dificultad para movilizar el cuello . La semana previa había presentado afectación del estado general y fiebre ,",peak c,0
10,C,"tratamiento ambulatorio con azitromicina . A la exploración física destacaba la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y orientada , con exploración neurológica completa normal , muguet oral y exploración",centimetro,0
11,C,"tratamiento ambulatorio con azitromicina . A la exploración física destacaba la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y orientada , con exploración neurológica completa normal , muguet oral y exploración",centigrado,1
12,C,"tratamiento ambulatorio con azitromicina . A la exploración física destacaba la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y orientada , con exploración neurológica completa normal , muguet oral y exploración",cysteine,0
13,C,"tratamiento ambulatorio con azitromicina . A la exploración física destacaba la delgadez ( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y orientada , con exploración neurológica completa normal , muguet oral y exploración",peak c,0
14,C,"tórax y serología viral fueron negativos . A las 2 semanas , ingresó por cuadro de fiebre de 39 º < start > C < end > dolor y dificultad para movilizar el cuello . La semana previa había presentado afectación del estado general y fiebre ,",centimetro,0
15,C,"tórax y serología viral fueron negativos . A las 2 semanas , ingresó por cuadro de fiebre de 39 º < start > C < end > dolor y dificultad para movilizar el cuello . La semana previa había presentado afectación del estado general y fiebre ,",centigrado,1
16,C,"tórax y serología viral fueron negativos . A las 2 semanas , ingresó por cuadro de fiebre de 39 º < start > C < end > dolor y dificultad para movilizar el cuello . La semana previa había presentado afectación del estado general y fiebre ,",cysteine,0
17,C,"tórax y serología viral fueron negativos . A las 2 semanas , ingresó por cuadro de fiebre de 39 º < start > C < end > dolor y dificultad para movilizar el cuello . La semana previa había presentado afectación del estado general y fiebre ,",peak c,0
18,cm,realizó una colonoscopia por diarrea que demostró una colitis segmentaria desde los 15 cm de margen anal a los 35 < start > cm < end > con pseudopólipos y friabilidad que impresionaba como colitis ulcerosa . El recto no presentaba lesiones . Las biopsias del colon,centimetro,1
19,cm,realizó una colonoscopia por diarrea que demostró una colitis segmentaria desde los 15 cm de margen anal a los 35 < start > cm < end > con pseudopólipos y friabilidad que impresionaba como colitis ulcerosa . El recto no presentaba lesiones . Las biopsias del colon,centimetro agua,0
20,cm,", plantago ovata y analgésicos . Con un TC de abdomen se confirmó la presencia de una masa de 3 < start > cm < end > en cuerpo-cola de páncreas vascularizada . Se hizo una laparotomía sin encontrar tumor pancreático y sí una masa en el",centimetro,1
21,cm,", plantago ovata y analgésicos . Con un TC de abdomen se confirmó la presencia de una masa de 3 < start > cm < end > en cuerpo-cola de páncreas vascularizada . Se hizo una laparotomía sin encontrar tumor pancreático y sí una masa en el",centimetro agua,0
22,cm,"tumor pancreático y sí una masa en el colon transverso que fue resecada . El examen histológico fue : 21 < start > cm < end > de colon transverso con una zona con mucosa irregular y aspecto abigarrado de 7 cm de extensión , áreas de",centimetro,1
23,cm,"tumor pancreático y sí una masa en el colon transverso que fue resecada . El examen histológico fue : 21 < start > cm < end > de colon transverso con una zona con mucosa irregular y aspecto abigarrado de 7 cm de extensión , áreas de",centimetro agua,0
24,cm,día . En octubre de 2004 se realizó una colonoscopia por diarrea que demostró una colitis segmentaria desde los 15 < start > cm < end > de margen anal a los 35 cm con pseudopólipos y friabilidad que impresionaba como colitis ulcerosa . El recto no,centimetro,1
25,cm,día . En octubre de 2004 se realizó una colonoscopia por diarrea que demostró una colitis segmentaria desde los 15 < start > cm < end > de margen anal a los 35 cm con pseudopólipos y friabilidad que impresionaba como colitis ulcerosa . El recto no,centimetro agua,0
26,cm,"colónica latero-lateral . El informe de la pieza quirúrgica fue : pieza de colectomía con una úlcera extensa de 6,5 < start > cm < end > con bordes sobreelevados que penetraba la pared del colon hasta la grasa pericólica con extensa reacción inflamatoria reparativa e inclusiones",centimetro,1
27,cm,"colónica latero-lateral . El informe de la pieza quirúrgica fue : pieza de colectomía con una úlcera extensa de 6,5 < start > cm < end > con bordes sobreelevados que penetraba la pared del colon hasta la grasa pericólica con extensa reacción inflamatoria reparativa e inclusiones",centimetro agua,0
28,cm,"examen histológico fue : 21 cm de colon transverso con una zona con mucosa irregular y aspecto abigarrado de 7 < start > cm < end > de extensión , áreas de ulceración de tipo lineal con infiltrado inflamatorio con microabscesos afectando a todo el espesor de",centimetro,1
29,cm,"examen histológico fue : 21 cm de colon transverso con una zona con mucosa irregular y aspecto abigarrado de 7 < start > cm < end > de extensión , áreas de ulceración de tipo lineal con infiltrado inflamatorio con microabscesos afectando a todo el espesor de",centimetro agua,0
30,cm,"úlcera del canal anal que se extendía en sentido proximal . La colonoscopia confirmó que la úlcera se extendía 3 < start > cm < end > en el recto , era de bordes regulares y nodulares . En la anastomosis colónica se apreciaba otra ulceración con",centimetro,1
31,cm,"úlcera del canal anal que se extendía en sentido proximal . La colonoscopia confirmó que la úlcera se extendía 3 < start > cm < end > en el recto , era de bordes regulares y nodulares . En la anastomosis colónica se apreciaba otra ulceración con",centimetro agua,0
32,h,"e inclusiones intranucleares ; inmunocitoquímicamente se constata positividad nuclear para herpes virus . Se inicia tratamiento antiviral con aciclovir 10mg/kg/8 < start > h < end > i.v . con mejoría clínica , desaparición de la fiebre y desconexión progresiva del respirador hasta su autonomía respiratoria plena",hora,1
33,h,"e inclusiones intranucleares ; inmunocitoquímicamente se constata positividad nuclear para herpes virus . Se inicia tratamiento antiviral con aciclovir 10mg/kg/8 < start > h < end > i.v . con mejoría clínica , desaparición de la fiebre y desconexión progresiva del respirador hasta su autonomía respiratoria plena",microgramo,0
34,h,"; a pesar de las condiciones óptimas en el momento de extubación , se la tiene que reintubar en 12 < start > h < end > por fracaso respiratorio . Nuevamente comienza con fiebre elevada y con cultivos reiterados negativos , por lo que se realiza",hora,1
35,h,"; a pesar de las condiciones óptimas en el momento de extubación , se la tiene que reintubar en 12 < start > h < end > por fracaso respiratorio . Nuevamente comienza con fiebre elevada y con cultivos reiterados negativos , por lo que se realiza",microgramo,0
36,h,"pulmonar parenquimatosa . Tiene una buena evolución inicial , por lo que se la extuba sin incidencias a las 48 < start > h < end > Presenta empeoramiento progresivo en los siguientes 2 días a nivel radiológico ( afectación parenquimatosa basal derecha ) , gasométrico (",hora,1
37,h,"pulmonar parenquimatosa . Tiene una buena evolución inicial , por lo que se la extuba sin incidencias a las 48 < start > h < end > Presenta empeoramiento progresivo en los siguientes 2 días a nivel radiológico ( afectación parenquimatosa basal derecha ) , gasométrico (",microgramo,0
38,kg,"e inclusiones intranucleares ; inmunocitoquímicamente se constata positividad nuclear para herpes virus . Se inicia tratamiento antiviral con aciclovir 10mg/ < start > kg < end > 8h i.v . con mejoría clínica , desaparición de la fiebre y desconexión progresiva del respirador hasta su autonomía respiratoria",kilogramo,1
39,kg,"e inclusiones intranucleares ; inmunocitoquímicamente se constata positividad nuclear para herpes virus . Se inicia tratamiento antiviral con aciclovir 10mg/ < start > kg < end > 8h i.v . con mejoría clínica , desaparición de la fiebre y desconexión progresiva del respirador hasta su autonomía respiratoria",centimetro,0
40,C,Se mantiene intubada y conectada a VM 7 días durante los que persiste la fiebre con picos mayores de 39o < start > C < end > con mejoría radiológica sin infiltrados y muestras microbiológicas negativas persistentemente ; se realiza TC abdominal y se descarta complicación derivada,centimetro,0
41,C,Se mantiene intubada y conectada a VM 7 días durante los que persiste la fiebre con picos mayores de 39o < start > C < end > con mejoría radiológica sin infiltrados y muestras microbiológicas negativas persistentemente ; se realiza TC abdominal y se descarta complicación derivada,centigrado,1
42,C,Se mantiene intubada y conectada a VM 7 días durante los que persiste la fiebre con picos mayores de 39o < start > C < end > con mejoría radiológica sin infiltrados y muestras microbiológicas negativas persistentemente ; se realiza TC abdominal y se descarta complicación derivada,cysteine,0
43,C,Se mantiene intubada y conectada a VM 7 días durante los que persiste la fiebre con picos mayores de 39o < start > C < end > con mejoría radiológica sin infiltrados y muestras microbiológicas negativas persistentemente ; se realiza TC abdominal y se descarta complicación derivada,peak c,0
44,C,"con mala mecánica respiratoria ) , por lo que se la reintuba . Comienza con fiebre superior a 39 o < start > C < end > persistente , resistente a antitérmicos y medidas físicas . Se extraen muestras microbiológicas ( hemocultivo , urocultivo y broncoaspirado )",centimetro,0
45,C,"con mala mecánica respiratoria ) , por lo que se la reintuba . Comienza con fiebre superior a 39 o < start > C < end > persistente , resistente a antitérmicos y medidas físicas . Se extraen muestras microbiológicas ( hemocultivo , urocultivo y broncoaspirado )",centigrado,1
46,C,"con mala mecánica respiratoria ) , por lo que se la reintuba . Comienza con fiebre superior a 39 o < start > C < end > persistente , resistente a antitérmicos y medidas físicas . Se extraen muestras microbiológicas ( hemocultivo , urocultivo y broncoaspirado )",cysteine,0
47,C,"con mala mecánica respiratoria ) , por lo que se la reintuba . Comienza con fiebre superior a 39 o < start > C < end > persistente , resistente a antitérmicos y medidas físicas . Se extraen muestras microbiológicas ( hemocultivo , urocultivo y broncoaspirado )",peak c,0
48,PCR,"se realiza fibrobroncoscopia con recogida de lavado broncoalveolar ( BAL ) y se mandan muestras a microbiología ( cultivo y < start > PCR < end > para herpes , CMV y virus respiratorios ) y anatomía patológica . Se realiza traqueostomía percutánea y se reciben los",proteina c reactivo,1
49,PCR,"se realiza fibrobroncoscopia con recogida de lavado broncoalveolar ( BAL ) y se mandan muestras a microbiología ( cultivo y < start > PCR < end > para herpes , CMV y virus respiratorios ) y anatomía patológica . Se realiza traqueostomía percutánea y se reciben los",polymerase chain reaction,0
50,PCR,"se realiza fibrobroncoscopia con recogida de lavado broncoalveolar ( BAL ) y se mandan muestras a microbiología ( cultivo y < start > PCR < end > para herpes , CMV y virus respiratorios ) y anatomía patológica . Se realiza traqueostomía percutánea y se reciben los",reaccion cadena polimerasa,0
