,short_form,context,long_form,label
0,GPT,"sangre eran normales salvo la GOT 87 , < start > GPT < end > 51 , gamma-GT 67 y las proteínas totales",glutamic pyruvic transaminar,1
1,GPT,"sangre eran normales salvo la GOT 87 , < start > GPT < end > 51 , gamma-GT 67 y las proteínas totales",glutamate pyruvatar transaminar,0
2,C,"( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y",centimetro,1
3,C,"( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y",centigrado,0
4,C,"( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y",cysteine,0
5,C,"( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y",peak c,0
6,C,ingresó por cuadro de fiebre de 39 º < start > C < end > dolor y dificultad para movilizar el cuello .,centimetro,1
7,C,ingresó por cuadro de fiebre de 39 º < start > C < end > dolor y dificultad para movilizar el cuello .,centigrado,0
8,C,ingresó por cuadro de fiebre de 39 º < start > C < end > dolor y dificultad para movilizar el cuello .,cysteine,0
9,C,ingresó por cuadro de fiebre de 39 º < start > C < end > dolor y dificultad para movilizar el cuello .,peak c,0
10,C,"( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y",centimetro,0
11,C,"( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y",centigrado,1
12,C,"( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y",cysteine,0
13,C,"( IMC 17 ) , temperatura 37 º < start > C < end > tensión arterial 105/60 , se encontraba consciente y",peak c,0
14,C,ingresó por cuadro de fiebre de 39 º < start > C < end > dolor y dificultad para movilizar el cuello .,centimetro,0
15,C,ingresó por cuadro de fiebre de 39 º < start > C < end > dolor y dificultad para movilizar el cuello .,centigrado,1
16,C,ingresó por cuadro de fiebre de 39 º < start > C < end > dolor y dificultad para movilizar el cuello .,cysteine,0
17,C,ingresó por cuadro de fiebre de 39 º < start > C < end > dolor y dificultad para movilizar el cuello .,peak c,0
18,cm,15 cm de margen anal a los 35 < start > cm < end > con pseudopólipos y friabilidad que impresionaba como colitis,centimetro,1
19,cm,15 cm de margen anal a los 35 < start > cm < end > con pseudopólipos y friabilidad que impresionaba como colitis,centimetro agua,0
20,cm,confirmó la presencia de una masa de 3 < start > cm < end > en cuerpo-cola de páncreas vascularizada . Se hizo,centimetro,1
21,cm,confirmó la presencia de una masa de 3 < start > cm < end > en cuerpo-cola de páncreas vascularizada . Se hizo,centimetro agua,0
22,cm,resecada . El examen histológico fue : 21 < start > cm < end > de colon transverso con una zona con mucosa,centimetro,1
23,cm,resecada . El examen histológico fue : 21 < start > cm < end > de colon transverso con una zona con mucosa,centimetro agua,0
24,cm,que demostró una colitis segmentaria desde los 15 < start > cm < end > de margen anal a los 35 cm con,centimetro,1
25,cm,que demostró una colitis segmentaria desde los 15 < start > cm < end > de margen anal a los 35 cm con,centimetro agua,0
26,cm,"de colectomía con una úlcera extensa de 6,5 < start > cm < end > con bordes sobreelevados que penetraba la pared del",centimetro,1
27,cm,"de colectomía con una úlcera extensa de 6,5 < start > cm < end > con bordes sobreelevados que penetraba la pared del",centimetro agua,0
28,cm,"con mucosa irregular y aspecto abigarrado de 7 < start > cm < end > de extensión , áreas de ulceración de tipo",centimetro,1
