# Document_ID	Mention_A_type	Mention_A_StartOffset	Mention_A_EndOffset	Mention_A	Relation_type	Mention_B_type	Mention_B_StartOffset	Mention_B_EndOffset	Mention_B
S0210-56912010000200009-1	SHORT_FORM	2068	2071	BAL	SHORT-LONG	LONG_FORM	2052	2066	broncoalveolar
S0365-66912006000500008-1	SHORT_FORM	59	61	AV	SHORT-LONG	LONG_FORM	43	57	agudeza visual
S0365-66912006000200012-1	SHORT_FORM	562	564	AV	SHORT-LONG	LONG_FORM	546	560	agudeza visual
S0365-66912009001100005-1	SHORT_FORM	163	165	AV	SHORT-LONG	LONG_FORM	147	161	agudeza visual
S0365-66912005000600011-1	SHORT_FORM	544	546	AV	SHORT-LONG	LONG_FORM	528	542	agudeza visual
S0365-66912012000200004-1	SHORT_FORM	73	75	AV	SHORT-LONG	LONG_FORM	57	71	agudeza visual
S0365-66912005001000011-1	SHORT_FORM	600	602	AV	SHORT-LONG	LONG_FORM	584	598	agudeza visual
S0365-66912006001200008-1	SHORT_FORM	213	215	AV	SHORT-LONG	LONG_FORM	197	211	agudeza visual
S0365-66912007001200011-1	SHORT_FORM	387	389	AV	SHORT-LONG	LONG_FORM	371	385	agudeza visual
S0365-66912006000500008-1	SHORT_FORM	282	284	OD	SHORT-LONG	LONG_FORM	269	280	ojo derecho
S0365-66912006000200012-1	SHORT_FORM	208	210	OD	SHORT-LONG	LONG_FORM	195	206	ojo derecho
S0365-66912007000200011-1	SHORT_FORM	207	209	OD	SHORT-LONG	LONG_FORM	194	205	ojo derecho
S0365-66912012000800005-1	SHORT_FORM	193	195	OD	SHORT-LONG	LONG_FORM	180	191	ojo derecho
S0365-66912009001100005-1	SHORT_FORM	312	314	OD	SHORT-LONG	LONG_FORM	299	310	ojo derecho
S0365-66912006001200009-1	SHORT_FORM	387	389	OD	SHORT-LONG	LONG_FORM	374	385	ojo derecho
S0365-66912012000500005-1	SHORT_FORM	272	274	OD	SHORT-LONG	LONG_FORM	259	270	ojo derecho
S0365-66912009000300009-1	SHORT_FORM	79	81	OD	SHORT-LONG	LONG_FORM	66	77	ojo derecho
S0365-66912005000600011-1	SHORT_FORM	571	573	OD	SHORT-LONG	LONG_FORM	558	569	ojo derecho
S0365-66912009000800005-1	SHORT_FORM	487	489	OD	SHORT-LONG	LONG_FORM	474	485	ojo derecho
S0365-66912012000200004-1	SHORT_FORM	793	795	OD	SHORT-LONG	LONG_FORM	780	791	ojo derecho
S0365-66912006001200008-1	SHORT_FORM	150	152	OD	SHORT-LONG	LONG_FORM	137	148	ojo derecho
