,short_form,context,long_form,label
0,PAAF,"no invadía estructuras vecinas y con una densidad grasa . Se realiza la toma de una muestra mediante punción-aspiración con aguja fina ( < start > PAAF < end > que confirmó las sospechas iniciales de lipoma . Se decidió realizar escisión quirúrgica de la tumoración . Se realizó un abordaje a nivel de la línea posterior del cabello ,",puncion aspiracion aguja fino,1
1,PAAF,"no invadía estructuras vecinas y con una densidad grasa . Se realiza la toma de una muestra mediante punción-aspiración con aguja fina ( < start > PAAF < end > que confirmó las sospechas iniciales de lipoma . Se decidió realizar escisión quirúrgica de la tumoración . Se realizó un abordaje a nivel de la línea posterior del cabello ,",puncion aspirativo aguja fino,0
2,RM,"y la exploración intraoral fue normal . El resto de la exploración física fue completamente anodina . Se decide realizar resonancia magnética ( < start > RM < end > cérvico-facial en la que se evidencia una masa homogénea , bien delimitada que no invadía estructuras vecinas y con una densidad grasa . Se realiza la toma de una muestra",resonancia magnetico,1
3,cm,"5*10cm para mejorar el cierre directo . Durante la intervención se obtuvo una pieza de 459,5g de peso y unas dimensiones de 25*16*4,8 < start > cm < end > Tras el primer día de postoperatorio el paciente muestra hematoma de rápido crecimiento a nivel de la sutura posterior que es necesario evacuar de urgencia y realizar hemostasia de un",centimetro,1
4,cm,"5*10cm para mejorar el cierre directo . Durante la intervención se obtuvo una pieza de 459,5g de peso y unas dimensiones de 25*16*4,8 < start > cm < end > Tras el primer día de postoperatorio el paciente muestra hematoma de rápido crecimiento a nivel de la sutura posterior que es necesario evacuar de urgencia y realizar hemostasia de un",centimetro agua,0
5,cm,"de la tumoración . Se realizó un abordaje a nivel de la línea posterior del cabello , resecando un huso cutáneo de 5*10 < start > cm < end > para mejorar el cierre directo . Durante la intervención se obtuvo una pieza de 459,5g de peso y unas dimensiones de 25*16*4,8cm . Tras el primer día de postoperatorio el",centimetro,1
6,cm,"de la tumoración . Se realizó un abordaje a nivel de la línea posterior del cabello , resecando un huso cutáneo de 5*10 < start > cm < end > para mejorar el cierre directo . Durante la intervención se obtuvo una pieza de 459,5g de peso y unas dimensiones de 25*16*4,8cm . Tras el primer día de postoperatorio el",centimetro agua,0
7,g,"cabello , resecando un huso cutáneo de 5*10cm para mejorar el cierre directo . Durante la intervención se obtuvo una pieza de 459,5 < start > g < end > de peso y unas dimensiones de 25*16*4,8cm . Tras el primer día de postoperatorio el paciente muestra hematoma de rápido crecimiento a nivel de la sutura posterior que es necesario",gramo,1
8,GOT,"mg/dl Otros valores bioquímicos fueron : bilirrubina total : 2,19 mg/dl , fracción directa : 1,33 mg/dl , LDH : 687 UI/l , < start > GOT < end > 61 UI/l ; GPT : 111 UI/l , GGT : 521 UI/l , fosfatasa alcalina 509 UI/l . La velocidad de sedimentación llegó a estar en 71 mm en la",glutamic oxalic transaminar,1
9,GOT,"mg/dl Otros valores bioquímicos fueron : bilirrubina total : 2,19 mg/dl , fracción directa : 1,33 mg/dl , LDH : 687 UI/l , < start > GOT < end > 61 UI/l ; GPT : 111 UI/l , GGT : 521 UI/l , fosfatasa alcalina 509 UI/l . La velocidad de sedimentación llegó a estar en 71 mm en la",glutamic oxaloacetic transaminar,0
10,GPT,": bilirrubina total : 2,19 mg/dl , fracción directa : 1,33 mg/dl , LDH : 687 UI/l , GOT : 61 UI/l ; < start > GPT < end > 111 UI/l , GGT : 521 UI/l , fosfatasa alcalina 509 UI/l . La velocidad de sedimentación llegó a estar en 71 mm en la primera hora . La serología",glutamate pyruvatar transaminar,1
11,GPT,": bilirrubina total : 2,19 mg/dl , fracción directa : 1,33 mg/dl , LDH : 687 UI/l , GOT : 61 UI/l ; < start > GPT < end > 111 UI/l , GGT : 521 UI/l , fosfatasa alcalina 509 UI/l . La velocidad de sedimentación llegó a estar en 71 mm en la primera hora . La serología",glutamic pyruvic transaminar,0
12,GPT,": bilirrubina total : 2,19 mg/dl , fracción directa : 1,33 mg/dl , LDH : 687 UI/l , GOT : 61 UI/l ; < start > GPT < end > 111 UI/l , GGT : 521 UI/l , fosfatasa alcalina 509 UI/l . La velocidad de sedimentación llegó a estar en 71 mm en la primera hora . La serología",glutamato piruvato transaminasar,0
13,UI,"a 61 mg/dl Otros valores bioquímicos fueron : bilirrubina total : 2,19 mg/dl , fracción directa : 1,33 mg/dl , LDH : 687 < start > UI < end > l , GOT : 61 UI/l ; GPT : 111 UI/l , GGT : 521 UI/l , fosfatasa alcalina 509 UI/l . La velocidad de sedimentación llegó a estar en",unidad internacional,1
